Symbol,mean_rank
CTH,15746.5
C7orf77,1426.0
C8orf34,3718.5
CGGBP1,9959.5
C8orf76,3081.0
CHD1,14367.5
CHERP,10760.5
CHP1,16497.0
CAMTA2,11915.0
CNBD1,5023.5
CNBD2,8622.5
COMTD1,10054.0
NCAPD3,13653.0
CMTR2,5111.0
CTNNBIP1,5365.0
CNDP2,17083.0
PDE6H,10134.0
CTDNEP1,11981.5
CNFN,11709.5
CNKSR1,12085.0
CNKSR3,11000.0
CNIH1,12211.0
CNPY1,2641.5
PDE6G,15356.0
CNTN3,15832.5
CNST,6077.0
CNTFR,8701.5
CNTLN,8391.0
C15orf54,1415.0
C15orf56,1295.0
C15orf65,1816.5
COL4A3,9689.5
C2,9103.5
COL8A1,6701.0
COL3A1,10036.5
C4B,10624.0
COL5A1,9198.0
COL5A3,4706.0
DPH3P1,1286.0
C9,11360.0
COA1,3023.0
C7,9215.5
DPH6,4208.0
DPH7,5362.0
COASY,9640.0
MT-CO3,9827.0
CMC2,8428.0
COX7A2P2,1211.0
C16orf54,2070.0
C16orf86,1878.0
CYP26A1,16553.0
CYP7A1,15382.0
CYP1A2,10736.0
NUDT21,16183.0
CYP27A1,17432.5
CYP1B1,17310.0
CYP20A1,4202.5
CYP2D6,10773.0
CRYBA1,13268.0
CRTAC1,5519.5
CRYBB2,10815.0
CRAMP1,11891.0
CLSTN1,6114.5
C20orf27,11378.0
ENDOV,11397.5
CST9L,6189.0
CST9LP1,1234.0
CST9,13110.0
CTAGE1,9556.5
CTAGE1,9553.5
CTAGE3P,1230.0
SLC44A4,12039.5
CTIF,13478.5
SLC44A5,5506.5
CHTF18,13651.0
CTNNA2,9147.5
CTAGE9,1421.0
CTGF,10648.0
SLC7A2,6718.5
CTTNBP2,14876.5
CATSPER4,7654.5
,1329.0
ERVK-18,1330.0
CATSPERG,7690.0
CATSPERZ,9482.5
ERVK-6,1356.0
ERVK-7,1350.0
ERVK-8,1317.0
ENKD1,9952.5
LINC00158,1323.0
LINC01547,1332.0
LINC00308,1319.0
LINC00315,1339.0
CUBN,16093.0
CTXND1,1316.0
CTXND2,1331.0
CUTA,12893.0
ENO1,11316.0
CUX1,16864.5
C22orf34,1345.0
ENO3,10556.5
ENO2,15989.0
COX6A2,12161.5
COX6B1,11665.5
GJA10,10091.0
GJA8,16464.5
GJA4,16000.5
GJB6,17160.5
CXCL3,9005.0
GJB1,17126.0
CXCL6,8992.5
PPBP,10672.0
GJB3,15387.5
GJD4,9322.0
CXCR2,10428.5
GJE1,13139.0
CXCR4,17448.0
CYB5A,17299.5
CYBC1,10796.0
